Feature,Importance,Model
device_enc,0.0033958260901272297,XGBoost
category_match,0.8886087536811829,XGBoost
ad_position,0.07779929786920547,XGBoost
hour_of_day,0.004328366834670305,XGBoost
day_of_week,0.003644885029643774,XGBoost
prior_click_rate,0.006693952716886997,XGBoost
ad_price_tier_enc,0.006969009060412645,XGBoost
num_previous_views,0.005612301640212536,XGBoost
is_weekend,0.002947623375803232,XGBoost
device_enc,0.05999758074271199,LightGBM
category_match,0.017660578202491835,LightGBM
ad_position,0.08322245070763276,LightGBM
hour_of_day,0.20116124349824605,LightGBM
day_of_week,0.09628644006290069,LightGBM
prior_click_rate,0.3336155800169348,LightGBM
ad_price_tier_enc,0.05818313777670255,LightGBM
num_previous_views,0.1472118059755655,LightGBM
is_weekend,0.002661183016813838,LightGBM
